epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
74,2.302659,2.303228,11.0200,51.5200,0.01000000,57.1
119,2.302585,2.302585,10.1400,48.7600,0.01000000,58.8
1,1.740637,1.544519,53.1600,94.5600,0.00040060,60.6
75,2.302907,2.303080,11.0000,51.6000,0.01000000,59.6
120,2.302585,2.302585,10.1400,48.7600,0.01000000,59.9
2,1.467410,1.374264,61.5600,95.4000,0.00060040,59.9
76,2.302673,2.302992,11.0600,51.7000,0.01000000,59.3
121,2.302585,2.302585,10.1400,48.7600,0.01000000,60.4
3,1.292988,1.244459,68.3600,96.7800,0.00080020,59.9
77,2.302400,2.303011,11.0200,51.5200,0.01000000,59.5
122,2.302585,2.302585,10.1400,48.7600,0.01000000,59.3
4,1.186616,1.238802,68.5400,97.1000,0.00100000,59.9
78,2.302224,2.302839,11.0200,51.7200,0.01000000,59.6
123,2.302585,2.302585,10.1400,48.7600,0.01000000,59.4
5,1.119223,1.231156,70.9000,96.7000,0.00100000,61.5
79,2.302261,2.302739,10.9800,51.5200,0.01000000,58.5
124,2.302585,2.302585,10.1400,48.7600,0.01000000,58.9
6,1.052099,1.115298,74.9800,98.4600,0.00099994,58.8
80,2.301853,2.302618,10.9600,51.6200,0.01000000,59.3
125,2.302585,2.302585,10.1400,48.7600,0.01000000,58.8
7,0.993979,1.004685,79.9400,98.4800,0.00099974,59.2
81,2.301673,2.302399,11.0400,51.6400,0.01000000,58.7
126,2.302585,2.302585,10.1400,48.7600,0.01000000,58.9
8,0.956341,0.948518,81.7600,99.0200,0.00099942,59.6
82,2.302127,2.302342,11.0400,51.7600,0.01000000,59.5
127,2.302585,2.302585,10.1400,48.7600,0.01000000,59.1
9,0.920245,0.997842,80.5400,98.5000,0.00099896,59.1
83,2.301958,2.302442,11.0800,51.5600,0.01000000,58.7
128,2.302585,2.302585,10.1400,48.7600,0.01000000,59.9
10,0.890430,0.868732,85.7200,99.3800,0.00099838,58.9
84,2.301590,2.302222,11.1400,51.7200,0.01000000,59.5
129,2.302585,2.302585,10.1400,48.7600,0.01000000,60.3
11,0.869121,0.922113,83.7000,99.0800,0.00099767,59.6
85,2.301675,2.302179,11.0600,51.6400,0.01000000,60.0
130,2.302585,2.302585,10.1400,48.7600,0.01000000,59.2
12,0.839646,0.865560,85.8400,99.0800,0.00099683,58.6
86,2.301722,2.302171,10.9600,51.4800,0.01000000,59.4
131,2.302585,2.302585,10.1400,48.7600,0.01000000,59.6
13,0.822586,0.871575,85.3000,99.3800,0.00099586,59.7
87,2.301524,2.302097,11.0800,51.6200,0.01000000,60.0
132,2.302585,2.302585,10.1400,48.7600,0.01000000,59.0
14,0.804808,0.801504,88.9000,99.5000,0.00099476,59.3
88,2.301479,2.302127,11.1400,51.5600,0.01000000,60.2
133,2.302585,2.302585,10.1400,48.7600,0.01000000,59.2
15,0.792554,0.889869,84.9400,99.5000,0.00099353,59.1
89,2.301396,2.301967,11.1600,51.6400,0.01000000,59.3
134,2.302585,2.302585,10.1400,48.7600,0.01000000,59.7
16,0.771008,0.943492,83.1400,98.6200,0.00099218,59.7
90,2.301192,2.301976,11.2600,51.6000,0.01000000,59.5
135,2.302585,2.302585,10.1400,48.7600,0.01000000,59.2
17,0.761764,0.851768,86.9200,99.1800,0.00099069,59.1
91,2.301354,2.301889,11.1600,51.7000,0.01000000,58.4
136,2.302585,2.302585,10.1400,48.7600,0.01000000,60.0
18,0.745188,0.817217,88.0800,99.2600,0.00098908,59.7
92,2.301090,2.301743,11.0400,51.8200,0.01000000,59.5
137,2.302585,2.302585,10.1400,48.7600,0.01000000,59.3
19,0.738756,0.794105,89.1600,99.5600,0.00098735,60.5
93,2.301182,2.301749,11.0400,51.7000,0.01000000,59.0
138,2.302585,2.302585,10.1400,48.7600,0.01000000,58.4
20,0.731948,0.773442,89.8400,99.4400,0.00098549,59.2
94,2.301144,2.301685,11.1000,51.7000,0.01000000,59.3
139,2.302585,2.302585,10.1400,48.7600,0.01000000,58.9
21,0.719337,0.794498,89.2400,99.4800,0.00098350,58.8
