epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
1,0.795134,0.730265,97.8600,99.9800,0.00006700,473.2
2,0.759734,0.690501,97.0600,99.9600,0.00010000,470.0
3,0.785633,0.706320,96.6600,99.9800,0.00010000,468.7
4,0.798626,0.684119,96.8600,99.9400,0.00009967,477.1
5,0.773186,0.719102,96.8200,99.9600,0.00009867,468.4
6,0.756077,0.773226,96.5200,99.9200,0.00009701,469.3
7,0.706154,0.732504,97.3000,99.9600,0.00009473,468.6
8,0.701563,0.757786,96.8200,99.9200,0.00009186,468.7
9,0.712467,0.690627,96.5800,99.9600,0.00008842,469.3
10,0.658685,0.711464,97.0800,99.9600,0.00008447,468.8
11,0.670301,0.719316,97.4800,100.0000,0.00008006,469.9
12,0.631198,0.728124,97.0600,99.9800,0.00007525,468.4
13,0.646125,0.669564,97.6200,99.9600,0.00007011,469.2
14,0.591722,0.731600,97.6800,99.9800,0.00006470,469.3
15,0.590556,0.729998,97.9000,99.9400,0.00005910,468.4
16,0.585464,0.704808,98.0600,100.0000,0.00005338,470.1
17,0.550665,0.710019,98.2000,99.9400,0.00004762,469.6
18,0.586117,0.734865,98.1200,99.9800,0.00004190,469.5
19,0.563679,0.717553,98.3400,100.0000,0.00003630,469.4
20,0.537763,0.758258,98.4800,99.9800,0.00003089,468.8
21,0.515080,0.722412,98.3800,99.9800,0.00002575,469.4
22,0.518524,0.715131,98.6600,100.0000,0.00002094,469.4
23,0.530870,0.766901,98.7800,100.0000,0.00001653,469.5
24,0.497286,0.771243,98.6800,100.0000,0.00001258,469.5
25,0.490347,0.754859,98.8400,100.0000,0.00000914,469.2
26,0.490340,0.744328,98.9400,99.9800,0.00000627,468.7
27,0.453998,0.769795,98.9600,99.9800,0.00000399,470.3
28,0.477238,0.775387,98.9400,100.0000,0.00000233,469.5
29,0.461863,0.767427,99.0600,100.0000,0.00000133,468.3
30,0.463954,0.759551,99.0200,100.0000,0.00000100,468.6
