epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
1,2.188270,2.047498,26.7200,81.6400,0.00020080,90.4
2,2.083454,1.949176,29.9200,84.8800,0.00030070,89.3
3,2.035101,1.881335,35.2000,87.8200,0.00040060,89.3
4,1.977803,1.739338,41.7400,90.9600,0.00050050,88.8
5,1.945146,1.687642,44.8800,91.9400,0.00060040,89.7
6,1.912026,1.685067,44.5600,91.9400,0.00070030,89.6
7,1.901927,1.683782,44.2200,92.5000,0.00080020,89.4
8,1.860698,1.655643,47.0400,92.7000,0.00090010,89.1
9,1.837382,1.623136,47.9400,92.5800,0.00100000,89.2
10,1.833918,1.594845,51.0600,93.9800,0.00100000,88.8
11,1.846360,1.575207,50.3800,94.3000,0.00099997,89.0
12,1.799304,1.516454,52.9200,94.8400,0.00099988,90.0
13,1.789462,1.482218,55.8600,95.3000,0.00099974,89.1
14,1.746034,1.487487,55.5800,94.9800,0.00099953,89.2
15,1.735203,1.483852,55.6600,95.3800,0.00099927,89.0
16,1.718306,1.398993,59.4800,96.0000,0.00099895,89.0
17,1.731357,1.423041,59.7400,96.2400,0.00099856,89.8
18,1.703020,1.370700,61.6000,96.8000,0.00099813,89.8
19,1.698888,1.353079,62.6400,96.6200,0.00099763,88.7
20,1.661023,1.379359,61.8600,96.1400,0.00099707,89.3
21,1.668809,1.384711,61.6800,96.0200,0.00099646,89.1
22,1.654754,1.360116,62.3400,96.6600,0.00099579,89.8
23,1.617474,1.309430,64.5800,97.0400,0.00099505,90.1
24,1.609496,1.301832,64.8600,96.7400,0.00099427,95.9
25,1.613591,1.291641,65.6800,96.9600,0.00099342,95.9
26,1.627917,1.277742,66.9000,97.4000,0.00099252,95.5
27,1.566015,1.247824,67.5200,97.3800,0.00099155,97.0
28,1.583742,1.236815,68.9400,97.7800,0.00099053,95.1
29,1.550718,1.262682,67.3400,97.3600,0.00098946,95.4
30,1.575621,1.238548,68.9800,97.1600,0.00098832,96.1
31,1.536592,1.229963,69.1600,97.6600,0.00098713,94.8
32,1.513575,1.216070,69.8400,97.5800,0.00098588,96.1
33,1.578760,1.191765,70.9200,97.9000,0.00098458,96.3
34,1.525538,1.209875,69.8800,97.7400,0.00098321,96.3
35,1.564213,1.194097,70.3800,97.8000,0.00098179,94.6
36,1.494483,1.227372,70.4800,97.8400,0.00098032,95.1
37,1.492408,1.159005,72.5800,98.2200,0.00097879,95.7
38,1.481874,1.176924,71.1000,98.2200,0.00097720,96.1
39,1.523768,1.141753,73.6800,98.1000,0.00097555,95.3
40,1.457027,1.155522,73.1400,98.2200,0.00097385,95.0
41,1.413397,1.157270,72.6200,98.4800,0.00097210,95.6
42,1.456639,1.143320,74.8800,98.2600,0.00097029,94.9
43,1.440692,1.128444,74.8000,98.3400,0.00096842,95.1
44,1.429244,1.101973,74.8800,98.4800,0.00096650,94.2
45,1.441009,1.120787,74.8000,98.3000,0.00096452,95.9
46,1.434787,1.104716,74.8400,98.3400,0.00096249,96.1
47,1.424024,1.094416,75.8800,98.8600,0.00096041,95.5
48,1.456475,1.098044,74.7200,98.7200,0.00095827,95.4
49,1.448572,1.096211,75.4400,98.6400,0.00095608,95.9
50,1.443433,1.059266,77.3800,98.4600,0.00095383,95.6
51,1.398345,1.065624,77.4800,98.7000,0.00095154,95.0
52,1.436819,1.060163,77.4600,98.8800,0.00094918,95.4
53,1.399278,1.058296,78.3600,98.5200,0.00094678,95.4
54,1.413620,1.048131,78.2600,98.8800,0.00094432,96.1
55,1.407398,1.034628,78.7400,98.9000,0.00094181,95.4
56,1.364435,1.054963,78.3400,98.8800,0.00093925,95.8
57,1.381138,1.033978,78.4200,98.8600,0.00093664,94.9
58,1.380575,1.037269,78.0400,98.8400,0.00093398,95.6
