epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
1,2.088345,2.010198,26.5400,82.1200,0.00020080,42.4
2,1.921142,1.875485,33.7000,87.4400,0.00030070,41.4
3,1.805032,1.714390,42.8600,91.1600,0.00040060,44.1
4,1.703455,1.642974,46.9800,92.6400,0.00050050,51.7
5,1.652973,1.631628,48.5800,92.8200,0.00060040,52.0
6,1.612026,1.581521,50.2000,93.4000,0.00070030,54.8
7,1.584445,1.529112,52.6400,93.9400,0.00080020,54.7
8,1.554730,1.456258,55.9000,95.0400,0.00090010,54.7
9,1.532728,1.497299,53.8000,94.9800,0.00100000,54.9
10,1.505713,1.460662,56.8800,95.1400,0.00100000,54.9
11,1.477349,1.406899,58.5800,95.6800,0.00099997,54.8
12,1.454537,1.382138,59.5800,96.2400,0.00099988,55.0
13,1.431078,1.338581,63.2000,96.4000,0.00099974,55.5
14,1.400614,1.281575,65.1200,96.8000,0.00099953,54.6
15,1.377466,1.311089,64.2200,96.6400,0.00099927,54.9
16,1.352080,1.271931,65.5600,97.2200,0.00099895,55.0
17,1.332210,1.273532,64.8200,97.1600,0.00099856,55.4
18,1.314963,1.227974,68.4800,97.4200,0.00099813,55.1
19,1.292793,1.199178,69.3000,97.3200,0.00099763,55.0
20,1.273945,1.201505,68.2200,97.6600,0.00099707,55.3
21,1.255932,1.188621,69.7600,98.1400,0.00099646,55.5
22,1.240502,1.148832,71.9000,97.9600,0.00099579,55.2
23,1.221862,1.162837,71.1600,97.7800,0.00099505,55.1
24,1.202013,1.155528,71.7600,97.9000,0.00099427,55.5
25,1.191248,1.127620,72.7800,97.8000,0.00099342,55.4
26,1.178831,1.120797,73.6600,98.3400,0.00099252,55.2
27,1.164763,1.122341,73.1600,98.4800,0.00099155,55.1
28,1.150391,1.080108,74.9600,98.5800,0.00099053,55.6
29,1.141616,1.065318,75.0000,98.6400,0.00098946,54.7
30,1.131548,1.087096,74.8800,98.3800,0.00098832,55.3
31,1.117620,1.077148,75.2200,98.6200,0.00098713,55.3
32,1.108602,1.073935,76.0000,98.6200,0.00098588,55.5
33,1.100593,1.062160,76.1200,98.6000,0.00098458,55.8
34,1.083703,1.072438,75.4000,98.6400,0.00098321,54.9
35,1.085294,1.045237,76.9400,98.6600,0.00098179,55.3
36,1.071197,1.047181,77.3600,98.6400,0.00098032,55.1
37,1.056502,1.048544,77.2000,98.4200,0.00097879,55.1
